kategori;orijinal_pdf_yolu;hedef_txt_yolu;sayfa_sayisi;karakter_sayisi
sosyal_bilimler;data\raw\sosyal_bilimler\s24.pdf;data\processed\stage1_extracted\sosyal_bilimler\s24.txt;20;80108
sosyal_bilimler;data\raw\sosyal_bilimler\s25.pdf;data\processed\stage1_extracted\sosyal_bilimler\s25.txt;31;78557
sosyal_bilimler;data\raw\sosyal_bilimler\s26.pdf;data\processed\stage1_extracted\sosyal_bilimler\s26.txt;12;44508
sosyal_bilimler;data\raw\sosyal_bilimler\s27.pdf;data\processed\stage1_extracted\sosyal_bilimler\s27.txt;18;56374
sosyal_bilimler;data\raw\sosyal_bilimler\s28.pdf;data\processed\stage1_extracted\sosyal_bilimler\s28.txt;23;84091
sosyal_bilimler;data\raw\sosyal_bilimler\s29.pdf;data\processed\stage1_extracted\sosyal_bilimler\s29.txt;33;80879
sosyal_bilimler;data\raw\sosyal_bilimler\s30.pdf;data\processed\stage1_extracted\sosyal_bilimler\s30.txt;8;32891
sosyal_bilimler;data\raw\sosyal_bilimler\s31.pdf;data\processed\stage1_extracted\sosyal_bilimler\s31.txt;23;42808
sosyal_bilimler;data\raw\sosyal_bilimler\s32.pdf;data\processed\stage1_extracted\sosyal_bilimler\s32.txt;14;36811
sosyal_bilimler;data\raw\sosyal_bilimler\s33.pdf;data\processed\stage1_extracted\sosyal_bilimler\s33.txt;28;85201
sosyal_bilimler;data\raw\sosyal_bilimler\s34.pdf;data\processed\stage1_extracted\sosyal_bilimler\s34.txt;21;70397
sosyal_bilimler;data\raw\sosyal_bilimler\s35.pdf;data\processed\stage1_extracted\sosyal_bilimler\s35.txt;16;48402
sosyal_bilimler;data\raw\sosyal_bilimler\s36.pdf;data\processed\stage1_extracted\sosyal_bilimler\s36.txt;15;29282
sosyal_bilimler;data\raw\sosyal_bilimler\s37.pdf;data\processed\stage1_extracted\sosyal_bilimler\s37.txt;9;40409
sosyal_bilimler;data\raw\sosyal_bilimler\s38.pdf;data\processed\stage1_extracted\sosyal_bilimler\s38.txt;23;47823
sosyal_bilimler;data\raw\sosyal_bilimler\s39.pdf;data\processed\stage1_extracted\sosyal_bilimler\s39.txt;18;54139
sosyal_bilimler;data\raw\sosyal_bilimler\s40.pdf;data\processed\stage1_extracted\sosyal_bilimler\s40.txt;11;41306
sosyal_bilimler;data\raw\sosyal_bilimler\s41.pdf;data\processed\stage1_extracted\sosyal_bilimler\s41.txt;39;99350
sosyal_bilimler;data\raw\sosyal_bilimler\s42.pdf;data\processed\stage1_extracted\sosyal_bilimler\s42.txt;16;35471
sosyal_bilimler;data\raw\sosyal_bilimler\s43.pdf;data\processed\stage1_extracted\sosyal_bilimler\s43.txt;26;68338
sosyal_bilimler;data\raw\sosyal_bilimler\s44.pdf;data\processed\stage1_extracted\sosyal_bilimler\s44.txt;21;37181
sosyal_bilimler;data\raw\sosyal_bilimler\s45.pdf;data\processed\stage1_extracted\sosyal_bilimler\s45.txt;5;17962
sosyal_bilimler;data\raw\sosyal_bilimler\s46.pdf;data\processed\stage1_extracted\sosyal_bilimler\s46.txt;11;26838
sosyal_bilimler;data\raw\sosyal_bilimler\s47.pdf;data\processed\stage1_extracted\sosyal_bilimler\s47.txt;24;55824
sosyal_bilimler;data\raw\sosyal_bilimler\s48.pdf;data\processed\stage1_extracted\sosyal_bilimler\s48.txt;36;107811
sosyal_bilimler;data\raw\sosyal_bilimler\s49.pdf;data\processed\stage1_extracted\sosyal_bilimler\s49.txt;14;48705
